Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
10,1,b,,r,🕀,#,&oplus;,🕀 Покров Пресвятої Богородиці,🕀 Покров Пресвятої Богородиці,
10,1,,,,,,,"Св. ап. Ананії, одного із сімдесятьох","Святого апостола Ананії, одного із сімдесятьох",
10,1,,,,,,,Прп. Романа Сладкопівця,Преподобного отця нашого Романа Сладкопівця,
10,2,,,,🕃,&,,🕃 Св. сщмч. Кипріана,🕃 Святого священномученика Кипріана,
10,2,,,,,,,Св. мц. Юстини,Святої мучениці Юстини,
10,2,,,,,,,"Св. Андрія, Христа ради юродивого","Святого Андрія, Христа ради юродивого",
10,3,,,,🕃,&,,🕃 Св. сщмч. Діонісія Ареопагіта,🕃 Святого священномученика Діонісія Ареопагіта,
10,4,,,,,,,"Св. сщмч. Єротея, єп. Атенського","Святого священномученика Єротея, єпископа Атенського",
10,4,,,,,,,Прп. Франциска Асизького,Преподобного отця нашого Франциска Асизького,
10,5,,,,,,,Св. мц. Харитини,Святої мучениці Харитини,
10,6,,,r,🕂,+,&dagger;,🕂 Св. і славн. ап. Томи,🕂 Святого і славного апостола Томи,
10,7,,,,🕃,&,,🕃 Свв. мчч. Сергія і Вакха,🕃 Святих мучеників Сергія і Вакха,
10,8,,,,,,,Прп. Пелагії,Преподобної матері нашої Пелагії,
10,9,,,r,🕂,+,&dagger;,🕂 Св. ап. Якова Алфеєвого,🕂 Святого апостола Якова Алфеєвого,
10,9,,,,,,,Прп. Андроніка і дружини його Атанасії,Преподобного отця нашого Андроніка і дружини його Атанасії,
10,10,,,,,,,Свв. мчч. Євлампія і Євлампії,Святих мучеників Євлампія і Євлампії,
10,11,,,,,,,"Св. ап. Филипа, одного із семи дияконів","Святого апостола Филипа, одного із семи дияконів",
10,11,,,,,,,"Прп. Теофана Начертанного, єп. Нікейського і творця канонів","Преподобного Теофана Начертанного, єпископа Нікейського і творця канонів",
10,11,b,,r,,,,Свв. Отців VII Вселенського Собору,У наступну неділю святкуємо пам’ять Святих Отців Сьомого Вселенського Собору,
10,12,,,,,,,"Свв. мчч. Прова, Тараха й Андроніка","Святих мучеників Прова, Тараха й Андроніка",
10,12,,,,,,,"Прп. Косми Святоградця, єп. Маюмського і творця канонів","Преподобного отця нашого Косми Святоградця, єпископа Маюмського і творця канонів",
10,12,,,,,,,"Пам’ять св. Мартина Милостивого, єп. Турського","Пам’ять святого отця нашого Мартина Милостивого, єпископа Турського",
10,13,,,,,,,"Свв. мчч. Карпа, Папили й Агатоніки","Святих мучеників Карпа, Папили й Агатоніки",
10,14,,,,,,,"Свв. мчч. Назарія, Гервасія, Протасія й Келсія","Святих мучеників Назарія, Гервасія, Протасія й Келсія",
10,14,,,,🕃,&,,🕃 Прп. Параскеви Терновської,🕃 Преподобної матері нашої Параскеви Терновської,
10,14,,,,,,,"Блаж. сщмч. Романа Лиска, пресвіт.","Блаженного священномученика Романа Лиска, пресвітера",
10,15,,,,,,,Прп. Євтимія Нового,Преподобного отця нашого Євтимія Нового,
10,15,,,,,,,"Св. прпмч. Лук’яна, пресвіт. Великої Антіохії","Святого преподобномученика Лук’яна, пресвітера Великої Антіохії",
10,16,,,,,,,"Св. мч. Лонгина, сотника","Святого мученика Лонгина, сотника",
10,17,,,,,,,Св. прор. Осії,Святого пророка Осії,
10,17,,,,,,,Св. прпмч. Андрія Критського,Святого преподобномученика Андрія Критського,
10,18,,,r,🕂,+,&dagger;,🕂 Св. ап. і єв. Луки,🕂 Святого апостола і євангелиста Луки,
10,19,,,,,,,Св. прор. Йоїла,Святого пророка Йоїла,
10,19,,,,,,,Св. мч. Уара,Святого мученика Уара,
10,19,,,,🕃,&,,🕃 Прп. Івана Рильського,🕃 Преподобного отця нашого Івана Рильського,
10,20,,,,🕃,&,,🕃 Св. вмч. Артемія,🕃 Святого великомученика Артемія,
10,21,,,,🕃,&,,🕃 Прп. Іларіона Великого,🕃 Преподобного отця нашого Іларіона Великого,
10,22,,,,,,,"Св. Івана Павла ІІ, папи","Святого отця нашого Івана Павла ІІ, папи",
10,22,,,,,,,"Св. рівноап. Аверкія, єп. Єрапольського, чудотв.","Святого рівноапостольного Аверкія, єпископа Єрапольського, чудотворця",
10,22,,,,,,,"Свв. сімох отроків, що в Ефесі","Святих сімох отроків, що в Ефесі",
10,23,,,r,🕃,@,,"🕃 Св. ап. Якова, брата Господнього","🕃 Святого апостола Якова, брата Господнього",
10,24,,,,,,,"Св. мч. Арети і тих, що з ним","Святого мученика Арети і тих, що з ним",
10,25,,,,,,,Свв. мчч. і нотарів Маркіяна й Мартирія,Святих мучеників і нотарів Маркіяна й Мартирія,
10,26,,i,r,🕁,*,&dagger;,🕁 Св. і славн. вмч. Димитрія Мироточця,🕁 Святого і славного великомученика Димитрія Мироточця,
10,27,,,,,,,Св. мч. Нестора,Святого мученика Нестора,
10,27,,,,,,,Свв. мцц. Капетоліни і рабині її Єротиїди,Святих мучениць Капетоліни і рабині її Єротиїди,
