Червень,01.06,6,сб,"Св. мч. Юстина, філософа, і тих, що з ним",,,#ap084,,#mt020a,,Субота 2-га після 50-ці,,"Субота 2-га, після всіх святих",
Червень,02.06,7,нд,"Неділя 2-га по Зісланні Святого Духа. Всіх святих українського народу. Св. Никифора, ісп.",Ряд.:,Святим:,#ap093,#ap099,#mt025,#mt010b,Святителям,Всім святим українського народу. Святим великомученикам,Неділя 4-та,"Неділя 2-га, всім святим українського народу"
Червень,03.06,1,пн,"Тиждень 3-ий по Зісланні Святого Духа. Св. мч. Лукиліяна і тих, що з ним",,,#ap094,,#mt034a,,Понеділок 3-го тижня після 50-ці,,Понеділок 3-го тижня,
Червень,04.06,2,вв,"Св. Митрофана, патр. Царгородського",,,#ap095,,#mt035,,Вівторок 3-го тижня після 50-ці,,Вівторок 3-го тижня,
Червень,05.06,3,ср,"Св. сщмч. Доротея, єп. Тирського Св. мч. Косми, пресвіт. вірменського",,,#ap096a,,#mt036,,Середа 3-го тижня після 50-ці,,Середа 3-го тижня і мученикам,
Червень,06.06,4,чт,"Прп. Висаріона, чудотв. Прп. Іларіона Нового, ігум. Далматської обителі, ісп.",,,#ap098,,#mt037,,Четвер 3-го тижня після 50-ці,,Четвер 3-го тижня,
Червень,07.06,5,пт,"🕀 Свято найсолодшого Господа Бога і Спаса нашого Ісуса Христа – Чоловіколюбця. Св. сщмч. Теодота (Богдана), єп. Анкирського",Свята:,Ряд.:,#ap306,#ap101,#iv009,#mt038b,На Благовіщення й на Собор Богородиці. Цей же і в Велику п'ятницю на 6-му Часі,П'ятниця 3-го тижня після 50-ці,Неділя перед Воздвиженням,П'ятниця 3-го тижня
Червень,08.06,6,сб,Сострадання Пресвятої Богородиці. 🕃 Перенесення мощів св. вмч. Теодора Тирона,Ряд.:,Сострадання:,#ap085,#ap240,#mt024,#iv061c,Субота 3-тя після 50-ці,Празник Богородиці,Субота 3-го тижня,Євангеліє 1-ше воскресне. В неділю антипасхи на утрені
Червень,09.06,7,нд,"Неділя 3-тя по Зісланні Святого Духа. 🕃 Св. Кирила, аєп. Олександрійського",,,#ap088a,,#mt018,,Неділя 3-тя після 50-ці,,Неділя 3-тя,
Червень,10.06,1,пн,"Тиждень 4-ий по Зісланні Святого Духа. Св. сщмч. Тимотея, єп. Пруського",,,#ap102,,#mt040,,Понеділок 4-го тижня після 50-ці,,Понеділок 4-го тижня. Це й на Літургії на Знайдення голови Предтечі,
Червень,11.06,2,вв,🕂 Свв. апп. Вартоломея й Варнави,Ряд.:,Апп.:,#ap104,#ap028,#mt041,#lk051b,Вівторок 4-го тижня після 50-ці,"Неділя 5-та, про самарянку",Євангеліє 1-ше воскресне. В неділю антипасхи на утрені,Загальне апостолам і ангелам
Червень,12.06,3,ср,🕃 Прп. Онуфрія Великого Прп. Петра Афонського,,,#ap105,,#mt042,,Середа 4-го тижня після 50-ці,,Середа 4-го тижня,
Червень,13.06,4,чт,"Св. мц. Акилини Св. Трифилія, єп. Левкусії Кипрської Прп. Антонія Падуанського",,,#ap106,,#mt043,,Четвер 4-го тижня після 50-ці,,Четвер 4-го тижня,
Червень,14.06,5,пт,"Св. прор. Єлисея Св. Методія, патр. Царгородського",,,#ap107,,#mt044,,П'ятниця 4-го тижня після 50-ці,,П'ятниця 4-го тижня,
Червень,15.06,6,сб,"Св. прор. Амоса Прп. Єроніма, пресвіт. Стридонського",,,#ap092,,#mt026,,Субота 4-та після 50-ці,,Субота 4-го тижня,
Червень,16.06,7,нд,Неділя 4-та по Зісланні Святого Духа. Св. і чудотв. Тихона Аматунтського,,,#ap093,,#mt025,,Святителям,,Неділя 4-та,
Червень,17.06,1,пн,"Тиждень 5-ий по Зісланні Святого Духа. Свв. мчч. Мануїла, Савела й Ісмаїла Прп. Іпатія, ігум. Руфеніанського",,,#ap109,,#mt045,,Понеділок 5-го тижня після 50-ці,,Понеділок 5-го тижня,
Червень,18.06,2,вв,Св. мч. Леонтія,,,#ap114,,#mt046a,,Вівторок 5-го тижня після 50-ці,,Вівторок 5-го тижня,
Червень,19.06,3,ср,"🕂 Св. ап. Юди, брата Господнього",Ряд.:,Ап.:,#ap117,#ap077,#mt048,#iv048b,Середа 5-го тижня після 50-ці,Сирний вівторок,Середа 5-го тижня,Євангеліє 1-ше воскресне. В неділю антипасхи на утрені
Червень,20.06,4,чт,"Св. сщмч. Методія, єп. Патарського",,,#ap118,,#mt049,,Четвер 5-го тижня після 50-ці,,Четвер 5-го тижня,
Червень,21.06,5,пт,Св. мч. Юліана Тарсійського,,,#ap120,,#mt050,,П'ятниця 5-го тижня після 50-ці,,П'ятниця 5-го тижня,
Червень,22.06,6,сб,"Св. сщмч. Євсевія, єп. Самосатського",,,#ap097,,#mt030,,Субота 5-го тижня після 50-ці,,"Субота 5-го тижня, св. Ап Матея",
Червень,23.06,7,нд,Неділя 5-та по Зісланні Святого Духа. Св. мц. Агрипіни,Ряд.:,,#ap103,,#mt028,,Неділя 5-та по 50-ці,,Неділя 5-та,
Червень,24.06,1,пн,"Тиждень 6-ий по Зісланні Святого Духа. 🕀 Різдво чесного і славн. прор., предтечі і хрестителя Господнього Івана ",Предтечі:,,#ap112,,#lk001,,Неділя сиропусна. Цей і на різдво Івана Предтечі,,"Різдво святого пророк предтечі і Хрестителя Івана, на Літургії",
Червень,25.06,2,вв,Св. прпмц. Февронії,,,#ap122,,#mt052a,,Вівторок 6-го тижня після 50-ці,,Вівторок 6-го тижня,
Червень,26.06,3,ср,"Прп. Давида, що в Солуні Блаж. сщмч. Андрія Іщака, пресвіт. Блаж. сщмч. Миколи Конрада, пресвіт., і мч. Володимира Прийми, співця",,,#ap127,,#mt053,,Середа 6-го тижня після 50-ці,,Середа 6-го тижня,
Червень,27.06,4,чт,"🕁 Блаж. сщмч. Миколая Чарнецького і двадцяти чотирьох співмучеників; блаженного сщмч. Омеляна Ковча Прп. Сампсона, приятеля подорожніх й убогих",Блаж. Мчч.:,,#ap233,,#mt036,,"Неділя 27-га після 50-ці. Цей і в суботу після Богоявлення, і святим мученикам",,Середа 3-го тижня і мученикам,
Червень,28.06,5,пт,🕃 Перенесення мощів свв. безср. Кира і Івана,,,#ap130a,,#mt055,,П'ятниця 6-го тижня після 50-ці,,"П'ятниця 6-го тижня. Це й 3 жовтня, св. Діонисію",
Червень,29.06,6,сб,🕀 Свв. славних і всехвальних первоверховних апп. Петра й Павла ,Апп.:,,#ap193,,#mt067a,,"29-го червня, святим апостолам",,"29 червня, на Літургії",
Червень,30.06,7,нд,Неділя 6-та по Зісланні Святого Духа. 🕂 Собор свв. славних і всехвальних дванадцяти апп. Блаж. сщмч. Василія Величковського,Ряд.:,Апп.:,#ap110,#ap131,#mt029,#mr012,Неділя 6-та після 50-ці,Неділя 10-та після 50-ці. Цей же й апостолам,Неділя 6-та,Вівторок 13-го тижня
