Березень,01.03,5,пт,Св. прпмц. Євдокії,,,#ap070,,#mr063,
Березень,02.03,6,сб,"Св. сщмч. Теодота (Богдана), єп. Киринейського",,,#ap295,,#lk103,
Березень,03.03,7,нд,"Неділя про блудного сина. Свв. мчч. Євтропія, Клеоніка й Василиска",,,#ap135,,#lk079,
Березень,04.03,1,пн,"Тиждень м’ясопусний. Прп. Герасима, що на Йордані",,,#ap071,,#mr049,
Березень,05.03,2,вв,Св. мч. Конона,,,#ap072,,#mr064,
Березень,06.03,3,ср,"Свв. сорока двох мчч., що в Аморії",,,#ap073b,,#mr065,
Березень,07.03,4,чт,"Свв. сщмчч., що були єпп. в Херсоні: Василія, Єфрема, Капітона, Євгенія, Етерія й інших Блаж. сщмч. Леоніда-Леонтія Федорова",,,#ap074,,#mr066,
Березень,08.03,5,пт,"Прп. й ісп. Теофілакта, єп. Нікомидійського",Ряд.:,Мчч.:,#ap075,#ap331,#mr068,#mt080
Березень,09.03,6,сб,"Субота заупокійна. 🕂 Свв. сорока мчч., замучених у Севастійському озері",Ряд.:,За упокій:,#ap146,#ap270,#lk105,#iv016
Березень,10.03,7,нд,"Неділя м’ясопусна, про Страшний суд. Св. мч. Кодрата і тих, що з ним: Кипріана, Ніки, Галини та інших",,,#ap140,,#mt106,
Березень,11.03,1,пн,"Тиждень сиропусний. Св. Софронія, патр. Єрусалимського",,,#ap076,,#lk096,
Березень,12.03,2,вв,"Прп. й ісп. Теофана Сигріанського Св. Григорія Двоєслова, папи Римського",,,#ap077,,#lk109,
Березень,13.03,3,ср,"Перенесення мощів св. Никифора, патр. Царгородського",,,,,,
Березень,14.03,4,чт,Прп. Венедикта,,,"Юда 78 зач.; 1, 11-25.",,#lk110,
Березень,15.03,5,пт,Св. мч. Агапія і з ним шести мчч.,,,,,,
Березень,16.03,6,сб,"Субота сиропусна. Всіх преподобних отців, що в подвизі просіяли. Свв. мчч. Савина й Папи",Ряд.:,Отцям:,#ap115,#ap213,#mt016,#mt043
Березень,17.03,7,нд,"Неділя сиропусна, прощення.</i>Прп. Олексія, чоловіка Божого",,,#ap112,,#mt017,
Березень,18.03,1,пн,"Початок св. Великого посту. Св. Кирила, аєп. Єрусалимського",,,,,,
Березень,19.03,2,вв,Свв. мчч. Хризанта й Дарії,,,,,,
Березень,20.03,3,ср,"Прпп. отців наших, яких убили сарацини в обителі Св. Сави",,,,,,
Березень,21.03,4,чт,"Прп. й ісп. Якова, єп. Катанського",,,,,,
Березень,22.03,5,пт,"Св. сщмч. Василія, пресвіт. Анкирського",,,,,,
Березень,23.03,6,сб,"Св. прпмч. Нікона і двохсот учнів його, з ним замучених",Ряд.:,Влкмч.:,#ap303,#ap292,#mr010,#iv052
Березень,24.03,7,нд,"Неділя 1-ша Великого посту, Православ’я. Гл. 1. Єв. 9. 🕃 Передсвяття Благовіщення Пресвятої Богородиці Прп. Захарії Св. Артемона, єп. Селевкії Пісідійської",,,#ap329b,,#iv005,
Березень,25.03,1,пн,"Тиждень 2-ий Великого посту. 🕀 Благовіщення Пресвятої Владичиці нашої Богородиці і Приснодіви Марії</b> Блаж. сщмч. Омеляна Ковча, пресвіт.",,,,,,
Березень,26.03,2,вв,🕃 Собор архангела Гавриїла Віддання Благовіщення</i>,Вечірня з Літургією св. Йоана Золотоустого:,,#ap306,,#lk003a,
Березень,27.03,3,ср,"Св. Матрони, що в Солуні",,,,,,
Березень,28.03,4,чт,"Прп. Іларіона Нового Св. Стефана, чудотв.",,,,,,
Березень,29.03,5,пт,"Прп. Марка, єп. Аретусійського, і Кирила дияк., та інших, що з ним постраждали при Юліані, мучителеві",,,,,,
Березень,30.03,6,сб,"Субота заупокійна. Прп. Івана, автора «Ліствиці»",Ряд.:,За упокій:,#ap309,#ap270,#mr006,#iv016
Березень,31.03,7,нд,"Неділя 2-га Великого посту. Прп. Іпатія, єп. Гангренського",,,#ap304,,#mr007,
