Грудень,01.12,1,пн,Св. прор. Наума,,,#ap278,,#lk075,,Понеділок 26-го тижня після 50-ці,,Понеділок 26-го тижня,
Грудень,02.12,2,вв,"Св. прор. Аввакума Блаж. сщмч. Івана Слезюка, єп.",,,#ap279,,#lk077,,Вівторок 26-го тижня після 50-ці,,Вівторок 26-го тижня,
Грудень,03.12,3,ср,Св. прор. Софонії,,,#ap281,,#lk078,,Середа 26-го тижня після 50-ці,,Середа 26-го тижня,
Грудень,04.12,4,чт,🕃 Св. вмц. Варвари Прп. Івана Дамаскина,,,#ap283,,#lk080,,Четвер 26-го тижня після 50-ці,,Четвер 26-го тижня,
Грудень,05.12,5,пт,🕂 Прп. й богоносного Сави Освященного,Ряд.:,Прп.:,#ap285a,#ap335,#lk082,#mt043,П'ятниця 26-го тижня після 50-ці,"Святителям, преподобним",П'ятниця 26-го тижня,Четвер 4-го тижня. Це й преподобним
Грудень,06.12,6,сб,"🕁 Св. Миколая, архиєп. Мир Ликійських, чудотв.",Св.:,,#ap335,,#lk024,,"Святителям, преподобним",,"П'ятниця 19-го тижня. Це ж і преподобним, св. Миколаю.",
Грудень,07.12,7,нд,"Неділя 26-та по Зісланні Святого Духа. Св. Амвросія, єп. Медіоланського",,,#ap229,,#lk066,,Неділя 26-га після 50-ці. Цей же й у понеділок Святого Духа,,Неділя 26-та,
Грудень,08.12,1,пн,Прп. Патапія,,,#ap285b,,#lk086,,Понеділок 27-го тижня після 50-ці,,Понеділок 27-го тижня,
Грудень,09.12,2,вв,🕁 Непорочне Зачаття Пресв. Богородиці св. Анною,Анни:,,#ap210b,,#lk036,,"9-го вересня, святим Йоакимові й Анні",,Субота 23-го тижня. Це і святій Анні,
Грудень,10.12,3,ср,"Свв. мчч. Мини, Єрмогена і Євграфа",,,#ap287,,#lk090,,Середа 27-го тижня після 50-ці,,Середа 27-го тижня,
Грудень,11.12,4,чт,Прп. Даниїла Стовпника,,,#ap289,,#lk092,,Четвер 27-го тижня після 50-ці,,Четвер 27-го тижня,
Грудень,12.12,5,пт,"🕃 Прп. Спиридона, чудотв., єп. Трімитійського",,,#ap290a,,#lk095,,П'ятниця 27-го тижня після 50-ці,,П'ятниця 27-го тижня,
