Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Йо. 59 зач.; 18, 28 – 19, 37.",,,,,,
"Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.",Йо.,60,,?,"14 вересня, на Воздвиження Чесного Хреста на Літургії",
"Йо. 60 зач.; 9, 6-11; 13-20; 25-28; 30-35.",Йо.,60,,?,,неправильний розділ!!!
"Йо. 61 зач.; 19, 25-27; 21, 24-25.",Йо.,61,b,,"26 вересня, і 8 травня, Іванові Богословові на Літургії",2 дні святого?
"Йо. 61 зач.; 19, 25-37.",Йо.,61,a,,Євангеліє 9-те святих страстей. ,
"Йо. 62 зач.; 19, 38-42.",Йо.,62,,,Євангеліє 11-те святих страстей.,
"Йо. 63 зач.; 20, 1-10.",Йо.,63,,,Євангеліє воскресне 7-ме,
"Йо. 64 зач.; 20, 11-18.",Йо.,64,,,Євангеліє воскресне 8-ме,
"Йо. 65 зач.; 20, 19-31.",Йо.,65,,?,Євангеліє воскресне 9-те. Святому апостолові Томі. В неділю антипасхи.,
"Йо. 65 зач.; 20, 19-25.",Йо.,65,,?,В світлу неділю ввечорі.,
"Йо. 65 зач.; 20, 19-23.",Йо.,65,,?,На Утрені в неділю 8-му після Великодня.,
"Йо. 66 зач.; 21, 1-14.",Йо.,66,,,Євангеліє воскресне 10-те,
"Йо. 67 зач.; 21, 15-25.",Йо.,67,,,"Євангеліє воскресне 11-те, і в суботу 7-му на Літургії, на празник Богослова на Утрені, і 17 січня.",17 січня???
"Йо. 86 зач.; 17, 1-13.",Йо.,86,,,,Неправильне зачало
"Лк. 1 зач.; 1, 1-25; 57-68; 76; 80.",Лк.,1,,,"Різдво святого пророк предтечі і Хрестителя Івана, на Літургії",
"Лк. 2 зач.; 1, 5-25.",Лк.,2,,,"23 вересня, на зачаття Івана Хрестителя",
"Лк. 3 зач.; 1, 24-38.",Лк.,3,a,,"Благовіщення Пресвятої Богородиці, на Літургії",
"Лк. 3 зач.; 1, 24-25; 57-68; 76; 80.",Лк.,3,b,,"На різдво Івана Предтечі, на Утрені",
"Лк. 4 зач.; 1, 39-49; 56.",Лк.,4,,,"Благовіщення, на Утрені. Це й на інші свята Пресвятої Богородиці.",
"Лк. 5 зач.; 2, 1-20.",Лк.,5,,,"В навечір'я Різдва Христового, і на 3-му часі",
"Лк. 6 зач.; 2, 20-21; 40-52.",Лк.,6,,,"Обрізання Господнє, на Літургії",
"Лк. 7 зач.; 2, 22-40.",Лк.,7,,,Стрітення Господнє на Літургії,
"Лк. 8 зач.; 2, 25-32.",Лк.,8,,?,"Стрітення Господнє, на Утрені",
"Лк. 8 зач.; 2, 25-38.",Лк.,8,,?,В день пам'яті Симеона богоприїмця,нема в календарі
"Лк. 9 зач.; 3, 1-18.",Лк.,9,,,Навечір'я Богоявлення,
"Лк. 10 зач.; 3, 19-22.",Лк.,10,,,Понеділок 18-го тижня,
"Лк. 11 зач.; 3, 23 – 4, 1.",Лк.,11,,,Вівторок 18-го тижня,
"Лк. 12 зач.; 4, 1-15.",Лк.,12,,,Середа 18-го тижня,
"Лк. 13 зач.; 4, 16-22.",Лк.,13,,,"Четвер 18-го тижня. Це й 1 вересня, на Новий рік",
"Лк. 14 зач.; 4, 22-30.",Лк.,14,,,П'ятниця 18-го тижня. Це й пророкові Іллі,
"Лк. 15 зач.; 4, 31-36.",Лк.,15,,,Субота 18-го тижня,
"Лк. 16 зач.; 4, 37-44.",Лк.,16,,,Понеділок 19-го тижня,
"Лк. 17 зач.; 5, 1-11.",Лк.,17,,,Неділя 18-та,
"Лк. 18 зач.; 5, 12-16.",Лк.,18,,,Вівторок 19-го тижня,
"Лк. 19 зач.; 5, 17-26.",Лк.,19,,,Субота 19-го тижня,
"Лк. 20 зач.; 5, 27-32.",Лк.,20,,,Субота 20-го тижня,
"Лк. 21 зач.; 5, 33-39.",Лк.,21,,,Середа 19-го тижня,
"Лк. 22 зач.; 6, 1-10.",Лк.,22,,,Субота 21-го тижня,
"Лк. 23 зач.; 6, 12-19.",Лк.,23,,,Четвер 19-го тижня,
"Лк. 24 зач.; 6, 17-23.",Лк.,24,,,П'ятниця 19-го тижня. Це ж і преподобним,
"Лк. 25 зач.; 6, 24-30.",Лк.,25,,,Понеділок 20-го тижня,
"Лк. 26 зач.; 6, 31-36.",Лк.,26,,,Неділя 19-та,
"Лк. 27 зач.; 6, 37-45.",Лк.,27,,,Вівторок 20-го тижня,
"Лк. 28 зач.; 6, 46 – 7, 1.",Лк.,28,,,Середа 20-го тижня,
"Лк. 29 зач.; 7, 1-10.",Лк.,29,,,Субота 22-го тижня,
"Лк. 30 зач.; 7, 11-16.",Лк.,30,,,Неділя 20-та,
