Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Мт. 10 зач.; 4, 25 – 5, 13.",Мт.,10,a,,Вівторок 1-го тижня,
"Мт. 10 зач.; 4, 25 – 5, 12.",Мт.,10,c,,Преподобним загальне,
"Мт. 10 зач.; 5, 1-16.",Мт.,10,b,,Всім святим українського народу,
"Мт. 11 зач.; 5, 14-19.",Мт.,11,,?,Святителям загальне,
"Мт. 11 зач.; 5, 4-19.",Мт.,11,,?,,Нема такого зачало. Може не Мт.?
"Мт. 11 зач.; 15, 4-19.",Мт.,11,,?,,
"Мт. 12 зач.; 5, 20-26.",Мт.,12,,,Середа 1-го тижня,
"Мт. 13 зач.; 5, 27-32.",Мт.,13,,,Четвер 1-го тижня,
"Мт. 14 зач.; 5, 33-41.",Мт.,14,,,П'ятниця 1-го тижня,
"Мт. 15 зач.; 5, 42-48.",Мт.,15,,,Субота 1-го тижня,
"Мт. 16 зач.; 6, 1-13.",Мт.,16,,,Субота сиропусна,
"Мт. 17 зач.; 6, 14-21.",Мт.,17,,,Неділя сиропусна,
"Мт. 18 зач.; 6, 22-33.",Мт.,18,,,Неділя 3-тя,
"Мт. 19 зач.; 6, 31-34; 7, 9-11.",Мт.,19,,,Понеділок 2-го тижня,
"Мт. 20 зач.; 7, 1-8.",Мт.,20,,?,"Субота 2-га, після всіх святих",
"Мт. 20 зач.; 7, 7-11.",Мт.,20,,?,На всяке прохання,
"Мт. 21 зач.; 7, 12-21.",Мт.,21,,,Преподобним отцям,
"Мт. 22 зач.; 7, 15-21.",Мт.,22,,,Вівторок 2-го тижня,
"Мт. 23 зач.; 7, 21-23.",Мт.,23,,,Середа 2-го тижня,
"Мт. 24 зач.; 7, 24 – 8, 4.",Мт.,24,,,Субота 3-го тижня,
"Мт. 25 зач.; 8, 5-13.",Мт.,25,,,Неділя 4-та,
"Мт. 26 зач.; 8, 14-23.",Мт.,26,,,Субота 4-го тижня,
"Мт. 27 зач.; 8, 23-27.",Мт.,27,,,Четвер 2-го тижня,
"Мт. 28 зач.; 8, 28 – 9, 1.",Мт.,28,,,Неділя 5-та,
"Мт. 29 зач.; 9, 1-8.",Мт.,29,,,Неділя 6-та,
"Мт. 30 зач.; 9, 9-13.",Мт.,30,,,"Субота 5-го тижня, св. Ап Матея",
"Мт. 31 зач.; 9, 14-17.",Мт.,31,,,П'ятниця 2-го тижня,
"Мт. 32 зач.; 9, 18-26.",Мт.,32,,,Субота 6-го тижня,
"Мт. 33 зач.; 9, 27-35.",Мт.,33,,,Неділя 7-ма,
"Мт. 34 зач.; 9, 36 – 10, 8.",Мт.,34,a,,Понеділок 3-го тижня,
"Мт. 34 зач.; 10, 1; 5-8.",Мт.,34,b,,"1 листопада і 1 липня, святим лікарям",
"Мт. 35 зач.; 10, 9-15.",Мт.,35,,,Вівторок 3-го тижня,
"Мт. 36 зач.; 10, 16-22.",Мт.,36,,,Середа 3-го тижня і мученикам,
"Мт. 37 зач.; 10, 23-31.",Мт.,37,,,Четвер 3-го тижня,
"Мт. 38 зач.; 10, 32-33; 37-38; 19, 27-30.",Мт.,38,a,,"Неділя 1-ша, всім святим",
"Мт. 38 зач.; 10, 32-36; 11, 1.",Мт.,38,b,,П'ятниця 3-го тижня,
"Мт. 39 зач.; 10, 37 – 11, 1.",Мт.,39,,,"Субота 7-ма, і перед Воздвиженням",
"Мт. 40 зач.; 11, 2-15.",Мт.,40,,,Понеділок 4-го тижня. Це й на Літургії на Знайдення голови Предтечі,
"Мт. 41 зач.; 11, 16-20.",Мт.,41,,,Вівторок 4-го тижня,
"Мт. 42 зач.; 11, 20-26.",Мт.,42,,,Середа 4-го тижня,
"Мт. 43 зач.; 11, 25-30.",Мт.,43,,?,,перевірити. мабуть криві стихи
"Мт. 43 зач.; 11, 27-30.",Мт.,43,,?,Четвер 4-го тижня,
"Мт. 44 зач.; 12, 1-8.",Мт.,44,,,П'ятниця 4-го тижня,
"Мт. 45 зач.; 12, 9-13.",Мт.,45,,,Понеділок 5-го тижня,
"Мт. 46 зач.; 12, 15-21.",Мт.,46,b,,Субота після Різдва Христового,
"Мт. 46 зач. (від половини); 12, 15-21.",Мт.,46,,?,Субота після Різдва Христового,
"Мт. 46 зач.; 12, 14-16; 22-30.",Мт.,46,a,,Вівторок 5-го тижня,
"Мт. 47 зач.; 12, 30-37.",Мт.,47,,,Субота 8-го тижня,
"Мт. 48 зач.; 12, 38-45.",Мт.,48,,,Середа 5-го тижня,
"Мт. 49 зач.; 12, 46 – 13, 3.",Мт.,49,,,Четвер 5-го тижня,
"Мт. 50 зач.; 13, 4-9.",Мт.,50,,,П'ятниця 5-го тижня,
"Мт. 51 зач.; 13, 10-23.",Мт.,51,,,Понеділок 6-го тижня,
"Мт. 52 зач.; 13, 24-30.",Мт.,52,,?,Вівторок 6-го тижня,
"Мт. 52 зач.; 13, 24-30; 36-43.",Мт.,52,,?,Ангелам,
"Мт. 53 зач.; 13, 31-36.",Мт.,53,,,Середа 6-го тижня,
"Мт. 54 зач.; 13, 36-43.",Мт.,54,,,Четвер 6-го тижня,
"Мт. 55 зач.; 13, 44-54.",Мт.,55,,,"П'ятниця 6-го тижня. Це й 3 жовтня, св. Діонисію",
"Мт. 56 зач.; 13, 54-58.",Мт.,56,,,Понеділок 7-го тижня,"Йо. 49, теж пн 7-го т"
"Мт. 57 зач.; 14, 1-13.",Мт.,57,,,"Вівторок 7-го тижня. Це й на Усікновення голови Івана Христителя, на Утрені",Йо. 53
"Мт. 58 зач.; 14, 14-22.",Мт.,58,,,Неділя 8-ма,
"Мт. 59 зач.; 14, 22-34.",Мт.,59,,,Неділя 9-та,
"Мт. 60 зач.; 14, 35 – 15, 11.",Мт.,60,,,Середа 7-го тижня,
"Мт. 61 зач.; 15, 12-21.",Мт.,61,,,Четвер 7-го тижня,
"Мт. 62 зач.; 15, 21-28.",Мт.,62,,,Неділя 17-та,
"Мт. 63 зач.; 15, 29-31.",Мт.,63,,,П'ятниця 7-го тижня,
"Мт. 64 зач.; 15, 32-39.",Мт.,64,,,Субота 9-го тижня,
"Мт. 65 зач.; 16, 1-6.",Мт.,65,,,Понеділок 8-го тижня,
"Мт. 66 зач.; 16, 6-12.",Мт.,66,,,Вівкторок 8-го тижня,
"Мт. 67 зач.; 16, 13-19.",Мт.,67,a,,"29 червня, на Літургії",
"Мт. 67 зач.; 16, 13-18.",Мт.,67,b,,Посвячення церкви,
"Мт. 68 зач.; 16, 20-24.",Мт.,68,,,Середа 8-го тижня,
"Мт. 69 зач.; 16, 24-28.",Мт.,69,,,Четвер 8-го тижня,
"Мт. 70 зач.; 17, 1-9.",Мт.,70,,,"Переображення, 6 серпня, на Літургії",
"Мт. 71 зач.; 17, 10-18.",Мт.,71,,,П'ятниця 8-го тижня,
"Мт. 72 зач.; 17, 14-23.",Мт.,72,,,Неділя 10-та,
"Мт. 73 зач.; 17, 24 – 18, 4.",Мт.,73,,,Субота 10-го тижня,
"Мт. 74 зач.; 18, 1-11.",Мт.,74,,,Понеділок 9-го тижня,
"Мт. 75 зач.; 18, 10-20.",Мт.,75,,,Понеділок Святого Духа,
"Мт. 76 зач.; 18, 18-22; 19, 1-2; 13-15.",Мт.,76,,,Вівторок 9-го тижня,
"Мт. 77 зач.; 18, 23-35.",Мт.,77,,,Неділя 11-та,
"Мт. 78 зач.; 19, 3-12.",Мт.,78,,,Субота 11-го тижня,
"Мт. 79 зач.; 19, 16-26.",Мт.,79,,,Неділя 12-та,
"Мт. 80 зач.; 20, 1-16.",Мт.,80,,,"Середа 9-го тижня. Це й 9 береня, святим 40 мученикам, що в Севастії",
"Мт. 81 зач.; 20, 17-28.",Мт.,81,,,Четвер 9-го тижня,
"Мт. 82 зач.; 20, 29-34.",Мт.,82,,,Субота 12-го тижня,
"Мт. 83 зач.; 21, 1-11; 15-17.",Мт.,83,,?,В квітну неділю на Утрені,
"Мт. 83 зач.; 21, 12-14; 17-20.",Мт.,83,,?,П'ятниця 9-го тижня,
"Мт. 84 зач.; 21, 18-43.",Мт.,84,,?,"Цей же і в святий і великий понеділок на Утрені, до зач 88 не переступаючи",
"Мт. 84 зач.; 21, 18-22.",Мт.,84,,?,Понеділок 10-го тижня,
"Мт. 85 зач.; 21, 23-27.",Мт.,85,,,Вівторок 10-го тижня,
"Мт. 86 зач.; 21, 28-32.",Мт.,86,,,Середа 10-го тижня,
"Мт. 87 зач.; 21, 33-42.",Мт.,87,,,Неділя 13-та. Це ж і первомученику Стефанові,
"Мт. 88 зач.; 21, 43-46.",Мт.,88,,,Четвер 10-го тижня,
"Мт. 89 зач.; 22, 1-14.",Мт.,89,,,Неділя 14-та,
"Мт. 90 зач.; 22, 15 – 23, 39.",Мт.,90,,?,Великий вівторок на Утрені,
"Мт. 90 зач.; 22, 15-22.",Мт.,90,,?,Субота 13-го тижня,
"Мт. 91 зач.; 22, 23-33.",Мт.,91,,,П'ятниця 10-го тижня,
"Мт. 92 зач.; 22, 35-46.",Мт.,92,,,Неділя 15-та,
"Мт. 93 зач.; 23, 1-12.",Мт.,93,,,Субота 14-го тижня,
"Мт. 94 зач.; 23, 13-22.",Мт.,94,,,Понеділок 11-го тижня,
"Мт. 95 зач.; 23, 23-28.",Мт.,95,,,Вівторок 11-го тижня,
"Мт. 96 зач.; 23, 29-39.",Мт.,96,,,Середа 11-го тижня,
"Мт. 97 зач.; 24, 1-13.",Мт.,97,,,Субота 15-го тижня,
"Мт. 98 зач.; 24, 3-35.",Мт.,98,,,У святий і великий понеділок на Літургії,
"Мт. 99 зач.; 24, 13-28.",Мт.,99,,,Четвер 11 тижня,
"Мт. 100 зач.; 24, 27-33; 42-51.",Мт.,100,,,П'ятниця 11 тижня,
"Мт. 101 зач.; 24, 34-44.",Мт.,101,,,Субота 16-го тижня,
"Мт. 102 зач.; 24, 36 – 26, 2.",Мт.,102,,,У святий і великий вівторок на Літургії,
"Мт. 103 зач.; 24, 42-47",Мт.,103,,,"30 вересня, св. Григорія Вірменського",
"Мт. 104 зач.; 25, 1-13.",Мт.,104,,,Субота 17-го тижня. Це і святій первомучениці Теклі й іншим мученицям,
"Мт. 105 зач.; 25, 14-30.",Мт.,105,,,Неділя 16-та,
"Мт. 106 зач.; 25, 31-46.",Мт.,106,,,Неділя м'ясопусна,
"Мт. 107 зач.; 26, 1-20; Йо. 13, 3-17; Мт. 26, 21-39; Лк. 22, 43-45; Мт. 26, 40 – 27, 2.",Мт.,107,,,У святий і великий четвер на Літургії,
"Мт. 108 зач.; 26, 6-16.",Мт.,108,,,У велику середу на Літургії,
"Мт. 109 зач.; 26, 57-75.",Мт.,109,,,Євангеліє 3-тє святих страстей,
"Мт. 110 зач.; 27, 1-56.",Мт.,110,,?,У велику п'ятницю на 1-му Часі,
"Мт. 110 зач.; 27, 1-38; Лк. 23, 39-43; Мт. 27, 39-54; Йо. 19, 31-37; Мт. 27, 55-61.",Мт.,110,,?,У велику п'ятницю ввечері,
"Мт. 111 зач.; 27, 3-32",Мт.,111,,,Євангеліє 5-тє святих страстей,
"Мт. 112 зач.; 27, 27-32",Мт.,112,,,На поклоніння чесному Древу. Це ж і ризі Господній на Утрені,
"Мт. 113 зач.; 27, 33-54",Мт.,113,,,Євангеліє 7-ме святих страстей,
"Мт. 114 зач.; 27, 62-66.",Мт.,114,,,Євангеліє 12-те святих страстей. Це  ж і у велику суботу на Утрені,
"Мт. 115 зач.; 28, 1-20.",Мт.,115,,,У велику суботу на Літургії,
"Мт. 116 зач.; 28, 16-20.",Мт.,116,,,Євангеліє 1-ше воскресне,
