Червень,01.06,1,пн,"Понеділок Святого Духа Св. мч. Юстина, філософа, і тих, що з ним",,,#ap229,,#mt075,,Неділя 26-га після 50-ці. Цей же й у понеділок Святого Духа,,Понеділок Святого Духа,
Червень,02.06,2,вв,"Св. Никифора, ісп.",,,#ap079a,,#mt010a,,Вівторок 1-го тижня після 50-ці,,Вівторок 1-го тижня,
Червень,03.06,3,ср,"Св. мч. Лукиліяна і тих, що з ним",,,#ap080,,#mt012,,Середа 1-го тижня після 50-ці,,Середа 1-го тижня,
Червень,04.06,4,чт,"Св. Митрофана, патр. Царгородського",,,#ap081a,,#mt013,,Четвер 1-го тижня після 50-ці,,Четвер 1-го тижня,
Червень,05.06,5,пт,"Св. сщмч. Доротея, єп. Тирського Св. мч. Косми, пресвіт. вірменського",,,#ap082,,#mt014,,П'ятниця 1-го тижня після 50-ці,,П'ятниця 1-го тижня,
Червень,06.06,6,сб,"Прп. Висаріона, чудотв. Прп. Іларіона Нового, ігум. Далматської обителі, ісп.",,,#ap079b,,#mt015,,Субота 1-ша після 50-ці,,Субота 1-го тижня,
Червень,07.06,7,нд,"Неділя 1-ша по Зісланні Святого Духа. Всіх святих Св. сщмч. Теодота (Богдана), єп. Анкирського",Ряд.:,,#ap330,,#mt038a,,Неділя всіх святих,,"Неділя 1-ша, всім святим",
Червень,08.06,1,пн,🕃 Перенесення мощів св. вмч. Теодора Тирона,,,#ap083,,#mt019,,Понеділок 2-го тижня після 50-ці,,Понеділок 2-го тижня,
Червень,09.06,2,вв,"🕃 Св. Кирила, архиєп. Олександрійського",,,#ap086,,#mt022,,Вівторок 2-го тижня після 50-ці,,Вівторок 2-го тижня,
Червень,10.06,3,ср,"Св. сщмч. Тимотея, єп. Пруського",,,#ap087,,#mt023,,Середа 2-го тижня після 50-ці,,Середа 2-го тижня,
Червень,11.06,4,чт,🕀 Торжественне поклоніння пречистим Тайнам Тіла і Крови Господа нашого Ісуса Христа 🕂 Свв. апп. Вартоломея й Варнави,Свята:,Апп.:,#ap149,#ap028,#iv023,#lk051b,У Великий четвер. Цей і на свято Євхаристії,"Неділя 5-та, про самарянку. Цей же і Вартоломею та Варнаві",П'ятниця 3-го тижня,Загальне апостолам і ангелам
Червень,12.06,5,пт,🕃 Прп. Онуфрія Великого Прп. Петра Афонського,,,#ap090,,#mt031,,П'ятниця 2-го тижня після 50-ці,,П'ятниця 2-го тижня,
Червень,13.06,6,сб,"Св. мц. Акилини Св. Трифилія, єп. Левкусії Кипрської Прп. Антонія Падуанського",,,#ap084,,#mt020a,,Субота 2-га після 50-ці,,"Субота 2-га, після всіх святих",
Червень,14.06,7,нд,"Неділя 2-га по Зісланні Святого Духа. Всіх святих українського народу. Св. прор. Єлисея Св. Методія, патр. Царгородського",Неділі:,,#ap081b,#ap093,#mt009,#mt025,Неділя 2-га після 50-ці,Неділя 4-та після 50-ці,"Неділя 2-га, після всіх святих",Неділя 4-та
Червень,15.06,1,пн,"Св. прор. Амоса Прп. Єроніма, пресвіт. Стридонського",,,#ap094,,#mt034a,,Понеділок 3-го тижня після 50-ці,,Понеділок 3-го тижня,
Червень,16.06,2,вв,Св. і чудотв. Тихона Аматунтського,,,#ap095,,#mt035,,Вівторок 3-го тижня після 50-ці,,Вівторок 3-го тижня,
Червень,17.06,3,ср,"Свв. мчч. Мануїла, Савела й Ісмаїла Прп. Іпатія, ігум. Руфеніанського",,,#ap096a,,#mt036,,Середа 3-го тижня після 50-ці,,Середа 3-го тижня і мученикам,
Червень,18.06,4,чт,Св. мч. Леонтія,,,#ap098,,#mt037,,Четвер 3-го тижня після 50-ці,,Четвер 3-го тижня,
Червень,19.06,5,пт,"🕀 Свято найсолодшого Господа Бога і Спаса нашого Ісуса Христа – Чоловіколюбця 🕂 Св. ап. Юди, брата Господнього",,,#ap306,,#iv009,,На Благовіщення й на Собор Богородиці. Цей же і в Велику п'ятницю на 6-му Часі,,Неділя перед Воздвиженням,
Червень,20.06,6,сб,"🕃 Сострадання Пресвятої Богородиці Св. сщмч. Методія, єп. Патарського",,,#ap085,,#mt024,,Субота 3-тя після 50-ці,,Субота 3-го тижня,
Червень,21.06,7,нд,Неділя 3-тя по Зісланні Святого Духа. Св. мч. Юліана Тарсійського,,,#ap088a,,#mt018,,Неділя 3-тя після 50-ці,,Неділя 3-тя,
Червень,22.06,1,пн,"Св. сщмч. Євсевія, єп. Самосатського",,,#ap102,,#mt040,,Понеділок 4-го тижня після 50-ці,,Понеділок 4-го тижня. Це й на Літургії на Знайдення голови Предтечі,
Червень,23.06,2,вв,Св. мц. Агрипіни,,,#ap104,,#mt041,,Вівторок 4-го тижня після 50-ці,,Вівторок 4-го тижня,
Червень,24.06,3,ср,"🕀 Різдво чесного і славн. прор., предтечі і хрестителя Господнього Івана ",Предтечі:,,#ap112,,#lk001,,Неділя сиропусна. Цей і на різдво Івана Предтечі,,"Різдво святого пророк предтечі і Хрестителя Івана, на Літургії",
Червень,25.06,4,чт,Св. прпмц. Февронії,,,#ap106,,#mt043,,Четвер 4-го тижня після 50-ці,,Четвер 4-го тижня. Це й преподобним,
Червень,26.06,5,пт,"Прп. Давида, що в Солуні Блаж. сщмч. Андрія Іщака, пресвіт. Блаж. сщмч. Миколи Конрада, пресвіт., і мч. Володимира Прийми, співця",,,#ap107,,#mt044,,П'ятниця 4-го тижня після 50-ці,,П'ятниця 4-го тижня,
