Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,заг. служба
9,1,,,r,🕂,+,&dagger;,"🕂 Початок індикту, нового року","🕂 Початок індикту, нового року",Начало Індикта,
9,1,,,,,,,Пам’ять прп. Симеона Стовпника і матері його Марти,Пам’ять преподобного отця нашого Симеона Стовпника і матері його Марти,,
9,1,,,,,,,"Собор Пресв. Богородиці, що в Міясинах","Собор Пресвятої Богородиці, що в Міясинах",,
9,2,,,,,,,Св. мч. Маманта,Святого мученика Маманта,Маманта,
9,2,,,,,,,"Прп. Івана Посника, патр. Царгородського","Преподобного отця нашого Івана Посника, патріарха Царгородського",Івана Посника,
9,3,,,,,,,"Св. сщмч. Антима, єп. Нікомидійського","Святого священномученика Антима, єпископа Нікомидійського",Антима,
9,3,,,,,,,"Прп. Теоктиста, співпосника вел. Євтимія","Преподобного отця нашого Теоктиста, співпосника великого Євтимія",,
9,4,,,,,,,"Св. сщмч. Вавили, єп. Антіохійського","Святого священномученика Вавили, єпископа Антіохійського",Вавили,
9,4,,,,,,,Св. прор. й боговидця Мойсея,Святого пророка й боговидця Мойсея,,
9,5,,,,🕃,&,,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі","🕃 Святих пророка Захарії та праведної Єлисавети, батьків чесного Івана Предтечі",прор. Захарії,
9,5,,,,,,,Прп. Терези з Калькутти,Преподобної матері нашої Терези з Калькутти,,
9,6,,,,🕃,&,,"🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла","🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистратига Михаїла",чудо арх. Михаїла,
9,6,,,,,,,"Св. мч. Євдоксія і тих, що з ним","Святого мученика Євдоксія і тих, що з ним",,
9,6,,,,,,,Прп. Архипа,Преподобного отця нашого Архипа,,
9,7,,,,🕃,&,,🕃 Передсвяття Різдва Пресвятої Богородиці,🕃 Передсвяття Різдва Пресвятої Богородиці,передсв.Різдва,
9,7,,,,,,,Св. мч. Созонта,Святого мученика Созонта,Созонта,
9,8,b,,r,🕀,#,&oplus;,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Різдво Богородиці,
9,9,,,,🕃,&,,🕃 Свв. і правв. богоотців Йоакима й Анни,🕃 Святих і праведних богоотців Йоакима й Анни,Йоакима і Анни,
9,9,,,,,,,Св. мч. Северіана,Святого мученика Северіана,,
9,10,,,,,,,"Свв. мцц. Минодори, Митродори й Німфодори","Святих мучениць Минодори, Митродори й Німфодори","мччц.Минодори, Митродори і Німфодори",
9,11,,,,,,,Прп. Теодори Олександрійської,Преподобної матері нашої Теодори Олександрійської,Теодори,
9,12,,,,,,,Св. сщмч. Автонома,Святого священномученика Автонома,,
9,12,,i,r,,,,Віддання Різдва Пресв. Богородиці,У цей день віддається свято Різдва Пресвятої Богородиці,Віддання Різдва Богородиці,
9,13,,,r,🕃,@,,🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого,🕃 Пам’ять оновлення храму Святого Воскресіння Христа і Бога нашого,Оновлення,
9,13,,,,,,,Предсвяття Воздвиження чесного й животворного Хреста,Предсвяття Воздвиження чесного й животворного Хреста,,
9,13,,,,,,,"Св. сщмч. Корнилія, сотника","Святого священномученика Корнилія, сотника",Корнилія,
9,14,b,,r,🕀,#,&oplus;,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,Воздвиження Хреста,
9,15,,,,🕃,&,,🕃 Св. вмч. Микити,🕃 Святого великомученика Микити,Микити,
9,16,,,,🕃,&,,🕃 Св. вмц. Євфимії всехвальної,🕃 Святої великомучениці Євфимії всехвальної,Євфимії,
