Period,WeeksFrom,WeeksToLent,WeekDay,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
pascha,7,,0,,i,r,,,,"Неділя 7-ма після Пасхи, свв. отців I-го Вселенського Собору","Неділя 7-ма після Пасхи, свв. отців I-го Вселенського Собору",7поПасці-Антипасха
pascha,7,,1,,i,,,,,Тиждень 7-ий після Пасхи,Тиждень 7-ий після Пасхи,
pascha,7,,5,,i,,,,,Віддання Вознесіння,Віддання Вознесіння,Віддання Вознесіння
pascha,7,,6,,i,,,,,Субота заупокійна,Субота заупокійна,заупокійна
pentecost,1,,0,b,,r,🕀,#,&oplus;,🕀 Зіслання Святого Духа. П’ятдесятниця,🕀 Зіслання Святого Духа. П’ятдесятниця,Зіслання Св. Духа
pentecost,1,,1,b,,r,,,,Понеділок Святого Духа,Понеділок Святого Духа,Святого Духа
pentecost,1,,7,,i,r,,,,Неділя 1-ша по Зісланні Святого Духа. Всіх святих,Неділя 1-ша по Зісланні Святого Духа. Всіх святих,всіх святих
pentecost,2,,4,b,,r,🕀,#,&oplus;,🕀 Торжественне поклоніння пречистим Тайнам Тіла і Крови Господа нашого Ісуса Христа,🕀 Торжественне поклоніння пречистим Тайнам Тіла і Крови Господа нашого Ісуса Христа,Євхаристії
pentecost,2,,7,,i,r,,,,Неділя 2-га по Зісланні Святого Духа. Всіх святих українського народу.,Неділя 2-га по Зісланні Святого Духа. Всіх святих українського народу.,всіх святих укр. народу
pentecost,3,,5,b,,r,🕀,#,&oplus;,🕀 Свято найсолодшого Господа Бога і Спаса нашого Ісуса Христа – Чоловіколюбця,🕀 Свято найсолодшого Господа Бога і Спаса нашого Ісуса Христа – Чоловіколюбця,Найсвятішого Серця
pentecost,3,,6,,,r,🕃,@,,🕃 Сострадання Пресвятої Богородиці,Сострадання Пресвятої Богородиці,Сострадання Богородиці
