Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,,,,,,VLOOKUP,,,Місяць,День,Ім'я
9,17,,,,,,,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові","Святої мучениці Софії і трьох її дочок: Віри, Надії й Любові","Софії, Віри, Надії, Любові.",,,917,"Софії, Віри, Надії, Любові.",,"Софії, Віри, Надії, Любові.",,930,9,30,"Григорія, просвітителя"
9,18,,,,,,,"Прп. Євменія, єп. Гортинського, чудотв.","Преподобного отця нашого Євменія, єпископа Гортинського, чудотворця",Євменія,,,918,Євменія,,Євменія,,101,10,1,Покров Богородиці
9,19,,,,,,,"Свв. мчч. Трофима, Савватія й Доримедонта","Святих мученків Трофима, Савватія й Доримедонта","Трофима, Савватія, Доримедонта",,,919,"Трофима, Савватія, Доримедонта",,"Трофима, Савватія, Доримедонта",,102,10,2,Кипріяна
9,20,,,,🕃,&,,"🕃 Свв. мчч. та іспп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв.","🕃 Святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців","мчч. Михаїла, Теодора Чернігівських",,,920,Теодора Чернігівського,,Теодора Чернігівського,,103,10,3,Діонісія Ареопагіта
9,20,,,,🕃,&,,"🕃 Св. вмч. Євстатія і тих, що з ним","🕃 Святого великомученика Євстатія і тих, що з ним",,,,920,Теодора Чернігівського,,Теодора Чернігівського,,104,10,4,Єротея
9,21,,,,,,,"Св. ап. Кодрата, що в Магнисії","Святого апостола Кодрата, що в Магнисії",,,,921,Віддання Воздвиження,,Віддання Воздвиження,,105,10,5,Харитини
9,21,,i,r,,,,Віддання Воздвиження чесного й животворного Хреста,У цей день віддається свято Воздвиження чесного й животворного Хреста,Віддання Воздвиження,,,921,Віддання Воздвиження,,Віддання Воздвиження,,106,10,6,ап. Томи
9,22,,,,,,,"Св. сщмч. Фоки, єп. Синопійського","Святого священномученика Фоки, єпископа Синопійського",Фоки,,,922,Фоки,,Фоки,,107,10,7,Сергія і Вакха
9,22,,,,,,,Св. прор. Йони,Святого пророка Йони,,,,922,Фоки,,Фоки,,108,10,8,Пелагії
9,22,,,,,,,"Прп. Йони, пресвіт.","Преподобного Йони, пресвітера",,,,922,Фоки,,Фоки,,109,10,9,Свв.Отців-ап. Якова
