Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,,,,,,VLOOKUP,,,Місяць,День,Ім'я
11,9,,,,,,,"Прп. Теоктисти, що з Лезви","Преподобної Теоктисти, що з Лезви",,,,119,мчч.Онисифора й Порфирія,,Макарія Єгипетського,,11,1,1,Обрізання-Василія_Великого
11,10,,,,,,,"Свв. апп. Ераста, Олімпа, Родіона і тих, що з ними","Святих апостолів Ераста, Олімпа, Родіона і тих, що з ними","апп.Єраста, Олімпа",,,1110,"апп.Єраста, Олімпа",,"апп.Єраста, Олімпа",,12,1,2,перед_Богоявленням-Сильвестра папи Римського
11,11,,,,,,,"Свв. мчч. Мини, Віктора й Вінкентія","Святих мучеників Мини, Віктора й Вінкентія","мчч.Мини, Віктора",,,1111,"мчч.Мини, Віктора",,"мчч.Мини, Віктора",,13,1,3,перед_Богоявленям-Малахії-Гордія
11,11,,,,,,,Св. мц. Стефаніди,Святої мучениці Стефаніди,,,,1111,"мчч.Мини, Віктора",,"мчч.Мини, Віктора",,14,1,4,70 апостолів_прп. Теоктиста
11,11,,,,,,,Прп. й ісп. Теодора Студійського,Преподобного отця нашого й ісповідника Теодора Студійського,,,,1111,"мчч.Мини, Віктора",,"мчч.Мини, Віктора",,15,1,5,Навечір_я_Богоявлення
11,12,,,r,🕁,*,&dagger;,"🕁 Св. сщмч. Йосафата, архиєп. Полоцького","🕁 Святого священномученика Йосафата, архиєпископа Полоцького",свщмч.Йосафата,,,1112,свщмч.Йосафата,,свщмч.Йосафата,,16,1,6,Богоявлення_ГНІХ
11,12,,,,🕃,&,,"🕃 Св. Івана Милостивого, патр. Олександрійського","🕃 Святого отця нашого Івана Милостивого, патріарха Олександрійського",,,,1112,свщмч.Йосафата,,свщмч.Йосафата,,17,1,7,Собор_Йоана
11,12,,,,,,,Прп. Ніла,Преподобного отця нашого Ніла,,,,1112,свщмч.Йосафата,,свщмч.Йосафата,,18,1,8,Георгія-Домініки
11,12,,,,,,,"Блаж. сщмч. Григорія Лакоти, єп.","Блаженного священномученика Григорія Лакоти, єпископа",,,,1112,свщмч.Йосафата,,свщмч.Йосафата,,19,1,9,По_Богоявленні_мч. Полієвкта
11,13,,,r,🕂,+,&dagger;,"🕂 Св. Івана Золотоустого, архиєп. Царгородського","🕂 Святого отця нашого Івана Золотоустого, архиєпископа Царгородського",свт.Йоана Золотоустого,,,1113,свт.Йоана Золотоустого,,свт.Йоана Золотоустого,,110,1,10,Григорія Ніського_Дометіана
11,14,,,r,🕂,+,&dagger;,🕂 Св. і всехв. ап. Филипа,🕂 Святого і всехвального апостола Филипа,ап.Филипа,,,1114,ап.Филипа,,ап.Филипа,,111,1,11,Теодосія
11,15,,,,,,,"Свв. мчч. та ісп. Гурія, Самона й Авіва","Святих мучеників та ісповідників Гурія, Самона й Авіва","Гурія, Самона, Авіва",,,1115,"Гурія, Самона, Авіва",,"Гурія, Самона, Авіва",,112,1,12,Татіяни
11,15,,i,r,,,,Початок Різдвяного посту,У цей день починається Різдвяний піст,,,,1115,"Гурія, Самона, Авіва",,"Гурія, Самона, Авіва",,113,1,13,Єрміла_Стратоніка
11,16,,,r,🕂,+,&dagger;,🕂 Св. ап. і єв. Матея,🕂 Святого апостола і євангелиста Матея,ап.Матея,,,1116,ап.Матея,,ап.Матея,,114,1,14,віддання_Богоявління
11,17,,,,,,,"Св. Григорія, єп. Неокесарійського, чудотв.","Святого отця нашого Григорія, єпископа Неокесарійського, чудотворця",Григорія Чудотворця,,,1117,Григорія Чудотворця,,Григорія Чудотворця,,115,1,15,Павла
11,18,,,,,,,Свв. мчч. Платона й Романа,Святих мучеників Платона й Романа,мчч.Платона і Романа,,,1118,мчч.Платона і Романа,,мчч.Платона і Романа,,116,1,16,Поклін оковам Петра
11,19,,,,,,,Св. прор. Авдія,Святого пророка Авдія,Авдія,,,1119,Авдія.Варлаама,,Авдія.Варлаама,,117,1,17,Антонія Великого
11,19,,,,,,,Св. мч. Варлаама,Святого мученика Варлаама,Варлаама,,,1119,Авдія.Варлаама,,Авдія.Варлаама,,118,1,18,Атанасія і Кирила
11,20,,,r,🕂,+,&dagger;,🕂 Прп. Йосафати Гордашевської,🕂 Преподобної матері нашої Йосафати Гордашевської,прп. Йосафати,,,1120,прп. Йосафати,,прп. Йосафати,,119,1,19,Макарія Єгипетського
11,20,,,,,,,Передсвяття Введення у храм Пресвятої Богородиці,Передсвяття Введення у храм Пресвятої Богородиці,,,,1120,прп. Йосафати,,прп. Йосафати,,120,1,20,Євтимія Великого
11,20,,,,,,,Прп. Григорія Декаполіта,Преподобного Григорія Декаполіта,,,,1120,прп. Йосафати,,прп. Йосафати,,121,1,21,Максима Ісповідника
11,20,,,,,,,"Св. Прокла, архиєп. Царгородського","Святого отця нашого Прокла, архиєпископа Царгородського",,,,1120,прп. Йосафати,,прп. Йосафати,,122,1,22,Тимотея
11,20,,,,,,,"Блаж. сщмч. Йосафата Коциловського, єп. Перемишльського","Блаженного священномученика Йосафата Коциловського, єпископа Перемишльського",,,,1120,прп. Йосафати,,прп. Йосафати,,123,1,23,Пратулинських мчч.
11,21,b,i,r,🕀,#,&oplus;,🕀 Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,🕀 Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Введення в храм,,,1121,Введення в храм,,Введення в храм,,124,1,24,Ксенії Римлянки
11,22,,,,,,,"Св. ап. Филимона і тих, що з ним","Святого апостола Филимона і тих, що з ним",ап.Филимона,,,1122,ап.Филимона,,ап.Филимона,,125,1,25,Григорія Богослова
11,23,,,,,,,"Свв. Амфілохія, єп. Іконійського, і Григорія, єп. Акрагантійського","Святих отців наших Амфілохія, єпископа Іконійського, і Григорія, єпископа Акрагантійського",Амфілохія,,,1123,Амфілохія,,Амфілохія,,126,1,26,Ксенофонта
11,24,,,,🕃,&,,🕃 Св. вмц. Катерини,🕃 Святої великомучениці Катерини,Катерини,,,1124,Катерини. Меркурія,,Катерини. Меркурія,,127,1,27,Перенесення мощей Йоана Зол.
11,24,,,,,,,Св. вмч. Меркурія,Святого великомученика Меркурія,Меркурія,,,1124,Катерини. Меркурія,,Катерини. Меркурія,,128,1,28,Єфрема Сирина
11,25,,,,,,,"Свв. сщмчч. Климента, папи Римського, і Петра, єп. Олександрійського","Святих отців наших і священномучеників Климента, папи Римського, і Петра, єпископа Олександрійського",,,,1125,Відання Введення,,Відання Введення,,129,1,29,Ігнатія Богоносця
11,25,,i,r,,,,Віддання Введення у храм Пресв. Богородиці,У цей день віддається свято Введення у храм Пресвятої Богородиці,Відання Введення,,,1125,Відання Введення,,Відання Введення,,130,1,30,Трьох святителів
11,26,,,,,,,Прп. Аліпія Стовпника,Преподобного отця нашого Аліпія Стовпника,Аліпія Стовпника,,,1126,Аліпія Стовпника,,Аліпія Стовпника,,131,1,31,Кира і Йоана
11,26,,,,,,,"Пам’ять посвячення храму Св. вмч. Юрія, що в Києві перед воротами Св. Софії","Пам’ять посвячення храму Святого великомученика Юрія, що в Києві перед воротами Святої Софії",,,,1126,Аліпія Стовпника,,Аліпія Стовпника,,21,2,1,Трифона
11,27,,,,,,,Св. вмч. Якова Перського,Святого великомученика Якова Перського,Якова Персянина,,,1127,Якова Персянина,,Якова Персянина,,22,2,2,Стрітення
11,27,,,,,,,Прп. Палладія,Преподобного отця нашого Палладія,,,,1127,Якова Персянина,,Якова Персянина,,23,2,3,Симеона_Анни
11,28,,,,🕃,&,,🕃  Прпмч. Стефана Нового,🕃 Преподобномученика Стефана Нового,Стефана Нового,,,1128,Стефана Нового,,Стефана Нового,,24,2,4,Ісидора
11,28,,,,,,,Св. мч. Іринарха,Святого мученика Іринарха,,,,1128,Стефана Нового,,Стефана Нового,,25,2,5,Агафії
11,29,,,,,,,Св. мч. Парамона,Святого мученика Парамона,Парамона,,,1129,Парамона. Філумена,,Парамона. Філумена,,26,2,6,Неділя про Митаря і фарисея
11,29,,,,,,,Св. мч. Філумена,Святого мученика Філумена,Філумена,,,1129,Парамона. Філумена,,Парамона. Філумена,,27,2,7,Партенія
11,29,,,,,,,"Прп. Акакія, що згадується в «Ліствиці»","Преподобного Акакія, що згадується в «Ліствиці»",,,,1129,Парамона. Філумена,,Парамона. Філумена,,28,2,8,Теодора Стратилата
11,30,,,r,🕂,+,&dagger;,🕂 Св. всехв. ап. Андрія Первозваного,🕂 Святого всехвального апостола Андрія Первозваного,Андрея Первозванного,,,1130,Андрея Первозванного,,Андрея Первозванного,,29,2,9,Віддання Стрітення
12,1,,,,,,,Св. прор. Наума,Святого пророка Наума,Наума,,,121,Наума,,Наума,,210,2,10,Харлампія
12,2,,,,,,,Св. прор. Аввакума,Святого пророка Аввакума,Аввакума,,,122,Аввакума,,Аввакума,,211,2,11,Власія
12,2,,,,,,,"Блаж. сщмч. Івана Слезюка, єп.","Блаженного священномученика Івана Слезюка, єпископа",,,,122,Аввакума,,Аввакума,,212,2,12,Мелетія
12,3,,,,,,,Св. прор. Софонії,Святого пророка Софонії,Софонії,,,123,Софонії,,Софонії,,213,2,13,Блудного сина
12,4,,,,🕃,&,,🕃 Св. вмц. Варвари,🕃 Святої великомучениці Варвари,Варвари,,,124,"Варвари, Дамаскина",,"Варвари, Дамаскина",,214,2,14,прп. Авксентія
12,4,,,,,,,Прп. Івана Дамаскина,Преподобного отця нашого Івана Дамаскина,Дамаскина,,,124,"Варвари, Дамаскина",,"Варвари, Дамаскина",,215,2,15,ап. Онисима
12,5,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Сави Освященного,🕂 Преподобного й богоносного отця нашого Сави Освященного,Сави Освященного,,,125,Сави Освященного,,Сави Освященного,,216,2,16,"Памфила, Порфирія"
12,6,,,r,🕁,*,&dagger;,"🕁 Св. Миколая, архиєп. Мир Ликійських, чудотв.","🕁 Святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця",свт. Миколая,,,126,свт. Миколая,,свт. Миколая,,217,2,17,Теодора Тирона
12,7,,,,,,,"Св. Амвросія, єп. Медіоланського","Святого отця нашого Амвросія, єпископа Медіоланського",Амвросія Медіолянського,,,127,Амвросія Медіолянського,,Амвросія Медіолянського,,218,2,18,"Льва, папи Римського"
12,8,,,,,,,Прп. Патапія,Преподобного отця нашого Патапія,Патапія,,,128,Патапія,,Патапія,,219,2,19,"Заупокійна, ап. Архипа"
12,9,,,r,🕁,*,&dagger;,🕁 Непорочне Зачаття Пресв. Богородиці св. Анною,🕁 Непорочне Зачаття Пресвятої Богородиці св. Анною,Зачаття св. Анни,,,129,Зачаття св. Анни,,Зачаття св. Анни,,220,2,20,"Мясопусна, прп. Льва"
12,10,,,,,,,"Свв. мчч. Мини, Єрмогена і Євграфа","Святих мучеників Мини, Єрмогена і Євграфа","Мини, Єрмогена",,,1210,"Мини, Єрмогена",,"Мини, Єрмогена",,221,2,21,"Тимотея, Євстатія"
12,11,,,,,,,Прп. Даниїла Стовпника,Преподобного отця нашого Даниїла Стовпника,Даниїла,,,1211,Праотців,,Праотців,,222,2,22,Віднйдення мощей в Євг.
12,12,,,,🕃,&,,"🕃 Прп. Спиридона, чудотв., єп. Трімитійського","🕃 Преподобного отця нашого Спиридона, чудотворця, єпископа Трімитійського",Спиридона,,,1212,Спиридона,,Спиридона,,223,2,23,Полікарпа
12,13,,,r,🕂,+,&dagger;,"🕂 Свв. мчч. Євстратія, Авксентія, Євгенія, Мардарія й Ореста","🕂 Святих мучеників Євстратія, Авксентія, Євгенія, Мардарія й Ореста","мчч.Євстратія, Авксентія",,,1213,"мчч.Євстратія, Авксентія",,"мчч.Євстратія, Авксентія",,224,2,24,Віднайдення голови
12,13,,,,,,,"Св. мц. Лукії, діви","Святої мучениці Лукії, діви",,,,1213,"мчч.Євстратія, Авксентія",,"мчч.Євстратія, Авксентія",,225,2,25,Тарасія
12,14,,,,,,,"Свв. мчч. Тирса, Левкія, Филимона, Аполлонія й Каленика","Святих мучеників Тирса, Левкія, Филимона, Аполлонія й Каленика","мчч.Тирса, Левкія",,,1214,"мчч.Тирса, Левкія",,"мчч.Тирса, Левкія",,226,2,26,Сиропусна
12,15,,,,🕃,&,,"🕃 Св. Стефана ісп., архиєп. Сурозького","🕃 Святого отця нашого Стефана ісповідника, архиєпископа Сурозького",,,,1215,Єлевтерія,,Єлевтерія,,227,2,27,"Сиропусна, Прокопія"
12,15,,,,,,,Св. сщмч. Єлевтерія,Святого священномученика Єлевтерія,Єлевтерія,,,1215,Єлевтерія,,Єлевтерія,,228,2,28,ПочатокПосту-Василія
12,15,,,,,,,"Прп. Павла, що в Латрі","Преподобного отця нашого Павла, що в Латрі",,,,1215,Єлевтерія,,Єлевтерія,,31,3,1,Євдокії
12,16,,,,,,,Св. прор. Аггея,Святого пророка Аггея,Аггея,,,1216,Аггея,,Аггея,,32,3,2,Теодота
12,17,,,,🕃,&,,🕃 Св. прор. Даниїла,🕃 Святого пророка Даниїла,Даниїла,,,1217,"Даниїла, трьох отроків",,"Даниїла, трьох отроків",,33,3,3,мч. Євтропія
12,17,,,,,,,"Свв. трьох отроків: Ананії, Азарії й Мисаїла","Святих трьох отроків: Ананії, Азарії й Мисаїла",трьох отроків,,,1217,"Даниїла, трьох отроків",,"Даниїла, трьох отроків",,34,3,4,прп. Герасима
12,18,,,,,,,"Св. мч. Севастіана і тих, що з ним","Святого мученика Севастіана і тих, що з ним",Севастіана,,,1218,свв.Отців,,свв.Отців,,35,3,5,Теодора Тирона
12,19,,,,,,,Св. мч. Боніфатія,Святого мученика Боніфатія,Боніфатія,,,1219,Боніфатія,,Боніфатія,,36,3,6,Православя-мчч. Аморейських
12,20,,,,🕃,&,,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа,,,,1220,Ігнатія Богоносця,,Ігнатія Богоносця,,37,3,7,свщмчч. Херсонських
12,20,,,,,,,Св. сщмч. Ігнатія Богоносця,Святого священномученика Ігнатія Богоносця,Ігнатія Богоносця,,,1220,Ігнатія Богоносця,,Ігнатія Богоносця,,38,3,8,Теофілакта
12,21,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,,,,1221,Юліанії,,Юліанії,,39,3,9,Севастійських мчч.
12,21,,,,,,,Св. мц. Юліанії,Святої мучениці Юліанії,Юліанії,,,1221,Юліанії,,Юліанії,,310,3,10,мч. Кондрата
12,22,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,,,,1222,Анастасії,,Анастасії,,311,3,11,Софронія
12,22,,,,,,,Св. вмц. Анастасії,Святої великомучениці Анастасії,Анастасії,,,1222,Анастасії,,Анастасії,,312,3,12,"Теофана, Григорія Двоєслова"
12,23,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,,,,1223,мчч. в Кріті,,мчч. в Кріті,,313,3,13,Никифора
12,23,,,,,,,"Свв. десятьох мчч., що в Криті","Святих десятьох мучеників, що в Криті",мчч. в Кріті,,,1223,мчч. в Кріті,,мчч. в Кріті,,314,3,14,Венедикта
12,24,,,r,,,,Навечір’я Різдва Христового,Навечір’я Різдва Христового,Навечіря Різдва,,,1224,Навечіря Різдва-Євгенії,,Навечіря Різдва-Євгенії,,315,3,15,мч. Агапія
12,24,,,,,,,Св. прпмц. Євгенії,Святої преподобномучениці Євгенії,Євгенії,,,1224,Навечіря Різдва-Євгенії,,Навечіря Різдва-Євгенії,,316,3,16,Савина й Папи
12,25,b,,r,🕀,#,&oplus;,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа,Різдво ГНІХ,,,1225,РІЗДВО ХРИСТОВЕ,,РІЗДВО ХРИСТОВЕ,,317,3,17,"Олексія, чоловіка Божого"
12,26,,,r,🕃,@,,🕃 Собор Пресвятої Богородиці,🕃 Собор Пресвятої Богородиці,Собор Пресвятої Богородиці,,,1226,Собор Пресвятої Богородиці,,Собор Пресвятої Богородиці,,318,3,18,Кирила Єрусалимського
12,26,,,,,,,"Св. сщмч. Євтимія, єп. Сардійського","Святого священномученика Євтимія, єпископа Сардійського",,,,1226,Собор Пресвятої Богородиці,,Собор Пресвятої Богородиці,,319,3,19,Зупокійна-Хризанта і Дарії
12,27,,,,🕃,&,,"🕃 Св. ап., первмч. й архдияк. Стефана","🕃 Святого апостола, первомученика й архидиякона Стефана",первомч.Стефана,,,1227,первомч.Стефана,,первомч.Стефана,,320,3,20,Хрестопоклонна
12,27,,,,,,,"Прп. й ісп. Теодора Начертанного, брата Теофана, творця канонів","Преподобного отця нашого й ісповідника Теодора Начертанного, брата Теофана, творця канонів",,,,1227,первомч.Стефана,,первомч.Стефана,,321,3,21,Якова Катанського
12,28,,,,,,,"Свв. двадцяти тисяч мчч., спалених у Нікомидії","Святих двадцяти тисяч мучеників, спалених у Нікомидії",20000 мчч.,,,1228,20000 мчч.,,20000 мчч.,,322,3,22,Василія Анкирського
12,28,,,,,,,"Блаж. сщмч. Григорія Хомишина, єп. Станіславівського","Блаженного священномученика Григорія Хомишина, єпископа Станіславівського",,,,1228,20000 мчч.,,20000 мчч.,,323,3,23,прпмч. Нікона
12,29,,,,,,,"Свв. немовлят, за Христа вбитих у Вифлеємі","Святих немовлят, за Христа вбитих у Вифлеємі",свв.младенців Вифлеємських,,,1229,свв.младенців Вифлеємських,,свв.младенців Вифлеємських,,324,3,24,передсв. Благовіщення-Захарії
12,29,,,,,,,"Прп. Маркелла, ігум. монастиря невсипущих","Преподобного отця нашого Маркелла, ігумена монастиря невсипущих",,,,1229,свв.младенців Вифлеємських,,свв.младенців Вифлеємських,,325,3,25,Благовіщення Богородиці
12,30,,,,,,,Св. мц. Анісії,Святої мучениці Анісії,Анісії,,,1230,Анісії,,Анісії,,326,3,26,Собор Гавриїла
12,30,,,,,,,"Прп. Зотика, пресвіт. і кормителя сиріт","Преподобного Зотика, пресвітера і кормителя сиріт",,,,1230,Анісії,,Анісії,,327,3,27,Матрони
12,31,,,,,,,Прп. Меланії Римлянки,Преподобної матері нашої Меланії Римлянки,Меланії Римлянки,,,1231,Меланії Римлянки,,Меланії Римлянки,,328,3,28,Іларіона Нового
12,31,,i,r,,,,Віддання Різдва Христового,У цей день віддається свято Різдва Христового,,,,1231,Меланії Римлянки,,Меланії Римлянки,,329,3,29,прп. Марка
1,1,b,,r,🕀,#,&oplus;,🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа,🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа,Обрізання,,,11,Обрізання-Василія_Великого,,Обрізання-Василія_Великого,,330,3,30,Йоана Ліствичника
1,1,b,,r,,,,"Св. Василія Великого, архиєп. Кесарії Каппадокійської","Святого отця нашого Василія Великого, архиєпископа Кесарії Каппадокійської",Василія Великого,,,11,Обрізання-Василія_Великого,,Обрізання-Василія_Великого,,331,3,31,Великого канону-Ігнатія
1,2,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,,,,12,перед_Богоявленням,,перед_Богоявленням-Сильвестра папи Римського,,41,4,1,Марії Єгипетської
1,2,,,,,,,"Св. Сильвестра, папи Римського","Святого Сильвестра, папи Римського","Сильвестра, папи Римського",,,12,Сильвестра папи Римського,,перед_Богоявленням-Сильвестра папи Римського,,42,4,2,Акафістова-Тита
1,3,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,,,,,,,,,,,,
1,3,,,,,,,Св. прор. Малахії,Святого пророка Малахії,Малахії,,,13,Малахії,,перед_Богоявленям-Малахії-Гордія,,44,4,4,Йосифа і Юрія
1,3,,,,,,,Св. мч. Гордія,Святого мученика Гордія,Гордія,,,13,Гордія,,перед_Богоявленям-Малахії-Гордія,,45,4,5,Теодула
1,4,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,,,,14,70 апостолів_прп. Теоктиста,,70 апостолів_прп. Теоктиста,,46,4,6,Євтихія
1,4,,,,,,,Собор свв. сімдесяти апп.,Собор святих сімдесяти апостолів,70 апостолів,,,14,70 апостолів_прп. Теоктиста,,70 апостолів_прп. Теоктиста,,47,4,7,Юрія Митилинського
1,4,,,,,,,"Прп. Теоктиста, ігум., що в Кукумі Сікелійській","Преподобного отця нашого Теоктиста, ігумена, що в Кукумі Сікелійській",прп. Теоктиста,,,14,70 апостолів_прп. Теоктиста,,70 апостолів_прп. Теоктиста,,48,4,8,"апп. Іродіона, Агава"
1,5,,,r,,,,Навечір’я Богоявлення,Навечір’я Богоявлення,Навечір'я Богоявлення,,,15,Навечір_я_Богоявлення,,Навечір_я_Богоявлення,,49,4,9,Лазарева-Євпсихія
1,5,,,,,,,Свв. мчч. Теопемпта й Теони,Святих мучеників Теопемпта й Теони,,,,15,Навечір_я_Богоявлення,,Навечір_я_Богоявлення,,410,4,10,Квітна
1,5,,,,,,,Прп. Синклитікії Олександрійської,Преподобної Синклитікії Олександрійської,,,,15,Навечір_я_Богоявлення,,Навечір_я_Богоявлення,,423,4,23,Юрія
1,6,b,,r,🕀,#,&oplus;,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,Богоявлення ГНІХ,,,16,Богоявлення_ГНІХ,,Богоявлення_ГНІХ,,425,4,25,єв. Марка
1,7,,,r,🕃,@,,"🕃 Собор св. славн. прор., предтечі і хрестителя Господнього Івана","🕃 Собор святого славного пророка, предтечі і хрестителя Господнього Івана",Собор Івана,,,17,Собор_Йоана,,Собор_Йоана,,426,4,26,Василія
1,8,,,,,,,Прп. Юрія Хозевіта,Преподобного отця нашого Юрія Хозевіта,Юрія Хозевіта,,,18,Георгія-Домініки,,Георгія-Домініки,,427,4,27,Симеона
1,8,,,,,,,"Св. Еміліяна, ісп.","Святого Еміліяна, ісповідника",,,,18,Георгія-Домініки,,Георгія-Домініки,,428,4,28,Ясона і Сосіпатра
1,8,,,,,,,Прп. Домніки,Преподобної матері нашої Домніки,Домніки,,,18,Георгія-Домініки,,Георгія-Домініки,,429,4,29,мчч. в Кизиці
1,9,,,,,,,Св. мч. Полієвкта,Святого мученика Полієвкта,мч. Полієвкта,,,19,По_Богоявленні_мч. Полієвкта,,По_Богоявленні_мч. Полієвкта,,430,4,30,ап. Якова
1,10,,,,,,,"Св. Григорія, єп. Ниського","Святого отця нашого Григорія, єпископа Ниського",Григорія Ніського,,,110,Григорія Ніського_Дометіана,,Григорія Ніського_Дометіана,,51,5,1,Мироносиць-прор.Єремії
1,10,,,,,,,"Прп. Дометіяна, єп. Мелітинського","Преподобного Дометіяна, єпископа Мелітинського",Дометіана,,,110,Григорія Ніського_Дометіана,,Григорія Ніського_Дометіана,,52,5,2,Атанасія
1,10,,,,,,,"Прп. Маркіяна, пресвіт. й економа Великої Церкви","Преподобного Маркіяна, пресвітера й економа Великої Церкви",,,,110,Григорія Ніського_Дометіана,,Григорія Ніського_Дометіана,,53,5,3,Теодосія Печерського
1,11,,,r,🕂,+,&dagger;,"🕂 Прп. Теодосія, спільного життя засновника","🕂 Преподобного отця нашого Теодосія, спільного життя засновника",Теодосія,,,111,свсмч.Теодора Ромжі,Теодосія,свсмч.Теодора Ромжі,,54,5,4,Пелагії
1,12,,,,,,,Св. мц. Тетяни,Святої мучениці Тетяни,Татіяни,,,112,мчч. Акиндина та ін.,Татіяни,мчч. Акиндина та ін.,,55,5,5,Ірини
1,13,,,,,,,Свв. мчч. Єрмила і Стратоніка,Святих мучеників Єрмила і Стратоніка,"Єрміла, Стратоніка",,,113,мчч.Апексими та ін.,Єрміла_Стратоніка,мчч.Апексими та ін.,,56,5,6,Іова
1,14,,,,,,,"Прпп., у Синаї і Раїті повбиваних","Преподобних отців наших, у Синаї і Раїті повбиваних",,,,114,прп.Йоаникія Великого,віддання_Богоявління,прп.Йоаникія Великого,,57,5,7,Явління Хреста
1,14,,,,,,,"Пам’ять переставл. св. рівноап. Ніни, просвітительки Грузії","Пам’ять переставлення святої рівноапостольної Ніни, просвітительки Грузії",,,,114,прп.Йоаникія Великого,Павла,прп.Йоаникія Великого,,58,5,8,Розслабленого-Йоана Богослова
1,14,,i,r,,,,Віддання Богоявлення,У цей день віддається свято Богоявлення,віддання_Богоявління,,,114,прп.Йоаникія Великого,Поклін оковам Петра,прп.Йоаникія Великого,,59,5,9,Миколая Чудотворця
1,15,,,,🕃,&,,🕃 Прпп. Павла Тивейського та Івана Кущника,🕃 Преподобних отців наших Павла Тивейського та Івана Кущника,Павла Тивейського,,,115,мчч.Галактіона і Епістими,Антонія Великого,мчч.Галактіона і Епістими,,510,5,10,Симона Зилота
1,16,,,,🕃,&,,🕃 Поклін чесним оковам св. і всехв. ап. Петра,🕃 Поклін чесним оковам святого і всехвального апостола Петра,Поклін оковам Петра,,,116,св. Павла,Атанасія і Кирила,св. Павла,,511,5,11,Переполовення
1,17,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Антонія Великого,🕂 Преподобного й богоносного отця нашого Антонія Великого,Антонія Великого,,,117,"мчч., що в Елітині",Макарія Єгипетського,"мчч., що в Елітині",,512,5,12,Епіфанія і Германа
1,18,,,,🕃,&,,🕃 Свв. і архиєпп. Олександрійських Атанасія й Кирила,🕃 Святих отців наших і архиєпископів Олександрійських Атанасія й Кирила,Атанасія і Кирила,,,118,арх.Михаїла,Євтимія Великого,арх.Михаїла,,513,5,13,Гликерії
1,19,,,,🕃,&,,🕃 Прп. Макарія Єгипетського,🕃 Преподобного отця нашого Макарія Єгипетського,Макарія Єгипетського,,,119,мчч.Онисифора й Порфирія,Максима Ісповідника,Макарія Єгипетського,,514,5,14,Ісидора
1,20,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Євтимія Великого,🕂 Прeподобного й богоносного отця нашого Євтимія Великого,Євтимія Великого,,,120,Євтимія Великого,Тимотея,Євтимія Великого,,515,5,15,Самарянки-Пахомія
1,21,,,,,,,Прп. Максима Ісповідника,Преподобного отця нашого Максима Ісповідника,Максима Ісповідника,,,121,Наума,Пратулинських мчч.,Наума,,516,5,16,Теодора Освященного
1,21,,,,,,,Св. мч. Неофіта,Святого мученика Неофіта,,,,121,Наума,Ксенії Римлянки,Наума,,517,5,17,Андроніка
1,21,,,,,,,"Свв. мчч. Євгенія, Кандида, Валеріяна й Акили","Святих мучеників Євгенія, Кандида, Валеріяна й Акили",,,,121,Наума,Григорія Богослова,Наума,,518,5,18,Віддання Переполов.
1,22,,,,,,,Св. ап. Тимотея,Святого апостола Тимотея,Тимотея,,,122,Аввакума,Ксенофонта,Аввакума,,519,5,19,Патрикія
1,22,,,,,,,Св. прпмч. Анастасія Перського,Святого преподобномученика Анастасія Перського,,,,122,Аввакума,Перенесення мощей Йоана Зол.,Аввакума,,520,5,20,Талалея
1,23,,,,,,,Блаж. Пратулинських мчч.,"Блаженних Пратулинських мучеників: Вінкентія, Микити, Івана, Константина, Михаїла, Онуфрія, Филипа, Максима, Даниїла, Константина, Вартоломея, Луки й Ігнатія",Пратулинських мчч.,,,123,Софонії,Єфрема Сирина,Софонії,,521,5,21,Костянтина і Єлени
1,23,,,,,,,"Св. сщмч. Климента, єп. Анкирського","Святого священномученика Климента, єпископа Анкирського",,,,123,Софонії,Ігнатія Богоносця,Софонії,,522,5,22,Сліпородженого-Василіска
1,23,,,,,,,Св. мч. Агатангела,Святого мученика Агатангела,,,,123,Софонії,Трьох святителів,Софонії,,523,5,23,Михаїла
1,24,,,,,,,Прп. Ксенії Римлянки,Преподобної матері нашої Ксенії Римлянки,Ксенії Римлянки,,,124,"Варвари, Дамаскина",Кира і Йоана,"Варвари, Дамаскина",,524,5,24,Симеона
