Йо. 65 зач.; 20, 19-31.
Йо. 6 зач.; 2, 1-11.
Йо. 10 зач.; 3, 16-21.
Йо. 15 зач.; 5, 17-24.
Йо. 16 зач.; 5, 24-30.
Лк. 63 зач.; 12, 2-7.
Йо. 17 зач.; 5, 30 – 6, 2.
Йо. 52 зач.; 15, 17 – 16, 2.
Йо. 19 зач.; 6, 14-27.
Мр. 71 зач.; 16, 9-20.
Мр. 69 зач.; 15, 43 – 16, 8.
Мр. 23 зач.; 6, 7-13.
Йо. 13 зач.; 4, 46-54.
Йо. 20 зач.; 6, 27-33.
Йо. 21 зач.; 6, 35-39.
Йо. 22 зач.; 6, 40-44.
Йо. 67 зач.; 21, 15-25.
Йо. 23 зач.; 6, 48-54.
Лк. 17 зач.; 5, 1-11.
Йо. 52 зач.; 15, 17 – 16, 2.
Лк. 112 зач.; 24, 1-12.
Йо. 14 зач.; 5, 1-15.
Йо. 24 зач.; 6, 56-69.
Мт. 43 зач.; 11, 27-30.
Йо. 25 зач.; 7, 1-13.
Йо. 26 зач.; 7, 14-30.
Йо. 29 зач.; 8, 12-20.
Йо. 30 зач.; 8, 21-30.
Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.
Йо. 67 зач.; 21, 15-25.
Йо. 31 зач.; 8, 31-42.
Йо. 61 зач.; 19, 25-27; 21, 24-25.
Йо. 63 зач.; 20, 1-10.
Йо. 12 зач.; 4, 5-42.
Лк. 24 зач.; 6, 17-23.
Йо. 67 зач.; 21, 15-25.
Йо. 32 зач.; 8, 42-51.
Мт. 56 зач.; 13, 54-58.
Йо. 33 зач.; 8, 51-59.
Йо. 36 зач.; 10, 9-16.
Йо. 18 зач.; 6, 5-14.
Йо. 35 зач.; 9, 39 – 10, 9.
Йо. 37 зач.; 10, 17-28.
Йо. 38 зач.; 10, 27-38.
Йо. 64 зач.; 20, 11-18.
Йо. 34 зач.; 9, 1-38.
Йо. 40 зач.; 11, 47-57.
Йо. 42 зач.; 12, 19-36.
Йо. 43 зач.; 12, 36-47.
Лк. 114 зач.; 24, 36-53.
Йо. 36 зач.; 10, 9-16.
Йо. 47 зач.; 14, 1-11.
Йо. 35 зач.; 10, 1-9.
Йо. 48 зач.; 14, 10-21.
Йо. 66 зач.; 21, 1-14.
Йо. 56 зач.; 17, 1-13.
Йо. 49 зач.; 14, 27 – 15, 7.
Лк. 31 зач.; 7, 17-30.
Йо. 53 зач.; 16, 2-13.
Мт. 40 зач.; 11, 2-15.
Йо. 54 зач.; 16, 15-23.
Йо. 55 зач.; 16, 23-33.
Йо. 57 зач.; 17, 18-26.
Йо. 67 зач.; 21, 15-25.
Йо. 16 зач.; 5, 24-30.
Йо. 65 зач.; 20, 19-23.
Йо. 27 зач.; 7, 37-52; 8, 12.
Мт. 75 зач.; 18, 10-20.
Мт. 10 зач.; 4, 25 – 5, 13.
Мт. 12 зач.; 5, 20-26.
Мт. 13 зач.; 5, 27-32.
Мт. 14 зач.; 5, 33-41.
Мт. 15 зач.; 5, 42-48.
Мт. 116 зач.; 28, 16-20.
Мт. 38 зач.; 10, 32-33; 37-38; 19, 27-30.
Мт. 19 зач.; 6, 31-34; 7, 9-11.
Мт. 22 зач.; 7, 15-21.
Мт. 23 зач.; 7, 21-23.
Йо. 23 зач.; 6, 55-58.
Мт. 27 зач.; 8, 23-27.
Йо. 23 зач.; 6, 48-54.
Йо. 67 зач.; 21, 15-25.
Мт. 31 зач.; 9, 14-17.
Лк. 51 зач.; 10, 16-21.
Мт. 20 зач.; 7, 1-8.
Мр. 70 зач.; 16, 1-8.
Мт. 9 зач.; 4, 18-23.
Лк. 106 зач.; 21, 12-19.
Мт. 34 зач.; 9, 36 – 10, 8.
Мт. 36 зач.; 10, 16-22.
Мт. 35 зач.; 10, 9-15.
Мт. 36 зач.; 10, 16-22.
Мт. 37 зач.; 10, 23-31.
Мт. 38 зач.; 10, 32-36; 11, 1.
Йо. 36 зач.; 10, 9-16.
Йо. 9 зач.; 3, 13-17.
Йо. 67 зач.; 21, 15-25.
Мт. 24 зач.; 7, 24 – 8, 4.
Мт. 10 зач.; 5, 1-16.
Мр. 71 зач.; 16, 9-20.
Мт. 18 зач.; 6, 22-33.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мт. 40 зач.; 11, 2-15.
Мт. 41 зач.; 11, 16-20.
Мт. 42 зач.; 11, 20-26.
Лк. 3 зач.; 1, 24-25; 57-68; 76; 80.
Лк. 1 зач.; 1, 1-25; 57-68; 76; 80.
Мт. 44 зач.; 12, 1-8.
Мт. 26 зач.; 8, 14-23.
Лк. 112 зач.; 24, 1-12.
Мт. 25 зач.; 8, 5-13.
Мт. 45 зач.; 12, 9-13.
Йо. 67 зач.; 21, 15-25.
Мт. 67 зач.; 16, 13-19.
Мт. 48 зач.; 12, 38-45.
Мр. 12 зач.; 3, 13-19.
Мт. 49 зач.; 12, 46 – 13, 3.
Лк. 4 зач.; 1, 39-49; 56.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мт. 50 зач.; 13, 4-9.
Мт. 30 зач.; 9, 9-13.
Лк. 113 зач.; 24, 12-35.
Мт. 28 зач.; 8, 28 – 9, 1.
Мт. 43 зач.; 11, 27-30.
Мт. 51 зач.; 13, 10-23.
Лк. 24 зач.; 6, 17-23.
Мт. 52 зач.; 13, 24-30.
Мт. 53 зач.; 13, 31-36.
Мт. 54 зач.; 13, 36-43.
Мт. 55 зач.; 13, 44-54.
Мт. 43 зач.; 11, 27-30.
Мт. 32 зач.; 9, 18-26.
Лк. 24 зач.; 6, 17-23.
Лк. 114 зач.; 24, 36-53.
Мт. 29 зач.; 9, 1-8.
Мт. 56 зач.; 13, 54-58.
Мт. 57 зач.; 14, 1-13.
Мт. 60 зач.; 14, 35 – 15, 11.
Йо. 36 зач.; 10, 9-16.
Мт. 61 зач.; 15, 12-21.
Йо. 35 зач.; 10, 1-9.
Мт. 63 зач.; 15, 29-31.
Мт. 39 зач.; 10, 37 – 11, 1.
Йо. 63 зач.; 20, 1-10.
Мт. 33 зач.; 9, 27-35.
Йо. 56 зач.; 17, 1-13.
Мт. 65 зач.; 16, 1-6.
Лк. 14 зач.; 4, 22-30.
Мт. 66 зач.; 16, 6-12.
Лк. 14 зач.; 4, 22-30.
Мт. 68 зач.; 16, 20-24.
Мт. 69 зач.; 16, 24-28.
Мт. 71 зач.; 17, 10-18.
Лк. 106 зач.; 21, 12-19.
Мт. 47 зач.; 12, 30-37.
Йо. 52 зач.; 15, 17 – 16, 2.
Йо. 64 зач.; 20, 11-18.
Мт. 58 зач.; 14, 14-22.
Лк. 36 зач.; 8, 16-21.
